,DATE,TEAM_ABBREVIATION,OPP_TEAM_ABBREVIATION,PTS,OPP_PTS,WINS_LOSSES,OPP_WINS_LOSSES,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,ODDS_ML_BETONLINE,ODDS_ML_BOGDOG,ODDS_ML_BUMBET,ODDS_ML_INTERTOPS,ODDS_ML_OPENING,OPP_ODDS_ML_BOGDOG,OPP_ODDS_ML_BUMBET,OPP_ODDS_ML_OPENING,OPP_ODDS_ML_BETONLINE,OPP_ODDS_ML_INTERTOPS
39,2019-10-27,LAL,CHR,120,101,1-1,1-1,98.50,24.50,24.00,31.00,19.00,41.52,75.56,35.59,19.50,41.50,14.00,112.50,34.50,25.00,29.00,24.00,47.67,61.90,47.95,27.00,41.50,19.00,-1050,-1400,-1400,-1300,-1149,+750,+750,+730,+750,+725
40,2019-10-28,NY,CHI,105,98,0-3,1-2,110.00,19.00,32.00,32.50,26.50,46.86,63.04,49.09,20.50,39.00,20.00,117.50,26.50,24.50,36.00,30.50,44.95,78.26,29.17,21.50,47.00,11.50,+105,+110,+110,+110,-105,-130,-130,-105,-125,-130
41,2019-10-28,DET,IND,96,94,1-2,0-2,109.50,29.50,29.00,23.50,27.50,46.63,83.64,34.43,23.00,42.00,15.50,110.00,24.00,31.00,31.00,24.00,46.07,83.33,38.10,26.00,36.00,15.00,+110,+100,+100,+105,-104,-120,-120,-106,-130,-125
42,2019-10-28,TOR,ORL,104,95,2-1,1-1,118.00,24.00,28.50,32.50,26.50,43.65,83.64,42.11,22.50,51.50,19.50,94.00,28.00,27.00,16.00,23.00,43.02,57.89,30.00,24.00,46.00,13.00,-195,-210,-210,-200,-191,+175,+175,+170,+170,+170
43,2019-10-28,ATL,PHI,103,105,2-0,2-0,117.00,38.00,22.00,31.00,26.00,51.16,85.71,35.48,27.00,42.00,13.00,107.00,20.00,29.00,28.00,30.00,43.53,72.22,24.14,24.00,62.00,15.00,+225,+240,+240,+235,+156,-290,-290,-204,-265,-275
44,2019-10-28,MIL,CLE,129,112,1-1,1-1,117.00,23.00,27.00,28.00,39.00,46.46,50.00,34.78,31.00,53.00,11.00,85.00,24.00,17.00,24.00,20.00,37.08,66.67,26.47,20.00,54.00,16.00,-1800,-2300,-2300,-2500,-1600,+1025,+1025,+1032,+1100,+1000
45,2019-10-28,NOP,GS,123,134,0-3,0-2,120.33,31.67,30.33,31.00,25.67,44.67,80.39,38.24,29.00,47.67,16.67,122.00,29.00,25.00,33.00,35.00,39.39,96.67,35.71,27.00,42.00,13.00,-130,-130,-130,-135,-159,+110,+110,+125,+110,+115
46,2019-10-28,HOU,OKC,116,112,1-1,1-2,118.50,29.50,34.00,28.50,26.50,41.30,81.16,31.18,26.00,51.00,16.50,90.00,18.00,28.00,26.00,18.00,39.16,66.04,30.00,14.50,48.50,15.50,-510,-620,-620,-550,-625,+410,+410,+400,+415,+410
47,2019-10-28,SAN,POR,113,110,2-0,2-1,122.00,26.00,33.50,28.00,34.50,48.17,81.13,34.69,25.50,52.00,15.00,111.00,26.00,27.50,30.50,27.00,47.67,88.89,31.03,18.00,44.00,18.00,-250,-240,-240,-260,-190,+200,+200,+165,+210,+220
48,2019-10-28,SAC,DEN,94,101,0-3,2-0,96.00,27.00,25.33,20.33,23.33,39.61,77.14,34.78,16.67,40.33,20.00,108.00,19.50,27.00,22.00,33.00,40.46,80.95,42.37,22.50,45.00,16.50,+180,+185,+185,+175,+185,-225,-225,-215,-210,-205
49,2019-10-28,PHO,UTA,95,96,2-1,2-1,120.33,24.00,27.33,28.33,36.67,46.67,86.90,34.62,29.33,49.00,15.67,99.67,25.00,25.67,21.33,27.67,47.48,77.36,37.21,20.67,44.00,18.00,+170,+170,+170,+170,+175,-200,-200,-205,-195,-200
50,2019-10-28,LAC,CHR,111,96,2-1,1-2,125.00,26.33,34.33,33.00,31.33,53.23,76.34,42.11,25.67,41.67,14.33,108.67,32.33,28.00,25.33,23.00,44.49,72.31,41.67,24.33,42.67,17.33,-2100,-2200,-2200,-2500,-2200,+1000,+1000,+1375,+1275,+1000
51,2019-10-29,MIA,ATL,112,97,2-1,2-1,120.00,25.33,29.33,28.33,33.67,47.23,73.33,38.78,25.33,48.67,19.33,110.00,30.50,25.50,28.00,26.00,51.18,72.22,32.79,24.50,47.00,15.50,-365,-360,-360,-380,-335,+280,+280,+280,+305,+300
